Test,Domain,question,Paragraph 1,Paragraph 2,Paragraph 3
3,1,1,"The quantitative method results in concrete probability percentages. That means the end result is a report that has dollar figures for levels of risk, potential loss, cost of countermeasures, and value of safeguards. This report is usually fairly easy to understand, especially for anyone with knowledge of spreadsheets and budget reports. Think of quantitative analysis as the act of assigning a quantity to risk�in other words, placing a dollar figure on each asset and threat. However, a purely quantitative analysis is not sufficient; not all elements and aspects of the analysis can be quantified because some are qualitative, subjective, or intangible.","The process of quantitative risk analysis starts with asset valuation and threat identification. Next, you estimate the potential and frequency of each risk. This information is then used to calculate various cost functions that are used to evaluate safeguards.","The six major steps or phases in quantitative risk analysis are as follows : 1. Inventory assets, and assign a value (asset value, or AV). (Asset value is detailed further in a later section of this chapter named �Asset Valuation.�) 2. Research each asset, and produce a list of all possible threats of each individual asset. For each listed threat, calculate the exposure factor (EF) and single loss expectancy(SLE). 3. Perform a threat analysis to calculate the likelihood of each threat being realized within a single year�that is, the annualized rate of occurrence (ARO). 4. Derive the overall loss potential per threat by calculating the annualized loss expectancy (ALE). 5. Research countermeasures for each threat, and then calculate the changes to ARO and ALE based on an applied countermeasure. 6. Perform a cost/benefit analysis of each countermeasure for each threat for each asset. Select the most appropriate response to each threat.",
3,1,2,"Multifactor authentication is any authentication using two or more factors. Two-factorauthentication requires two different factors to provide authentication. As an example,smartcards typically require users to insert their card into a reader and enter a PIN.The smart card is in the something-you-have factor, and the PIN is in the somethingyou-know factor. As a general rule, using more types or factors results in more secureauthentication.","Multifactor authentication must use multiple types or factors, such asthe something-you-know factor and the something-you-have factor. Incontrast, requiring users to enter a password and a PIN is not multifactorauthentication because both methods are from a single authentication factor (something you know).","When two authentication methods of the same factor are used together, the strength ofthe authentication is no greater than it would be if just one method were used because thesame attack that could steal or obtain one could also obtain the other. For example, using two passwords together is no more secure than using a single password because a passwordcracking attempt could discover both in a single successful attack.In contrast, when two or more different factors are employed, two or more different methods of attack must succeed to collect all relevant authentication elements. For example, if a token, a password, and a biometric factor are all used for authentication, then a physical theft, a password crack, and a biometric duplication attack must all succeed simultaneously to allow an intruder to gain entry into the system.",
3,1,3,"Risk Acceptance Accepting risk, risk tolerance, or acceptance of risk is the result after a cost/benefit analysis shows countermeasure costs would outweigh the possible cost of loss due to a risk. It also means that management has agreed to accept the consequences and the loss if the risk is realized. In most cases, accepting risk requires a clearly written statement that indicates why a safeguard was not implemented, who is responsible for the decision, and who will be responsible for the loss if the risk is realized, usually in the form of a sign-off letter. An organization�s decision to accept risk is based on its risk tolerance. This is also known as risk tolerance or risk appetite which is the ability of an organization to absorb the losses associated with realized risks.","Business continuity planning (BCP) involves assessing the risks to organizational processes and creating policies, plans, and procedures to minimize the impact those risks might have on the organization if they were to occur. BCP is used to maintain the continuous operation of a business in the event of an emergency situation. The goal of BCP planners is to implement a combination of policies, procedures, and processes such that a potentially disruptive event has as little impact on the business as possible. BCP focuses on maintaining business operations with reduced or restricted infrastructure capabilities or resources. As long as the continuity of the organization�s ability to perform its mission-critical work tasks is maintained, BCP can be used to manage and restore the environment.","CISSP candidates often become confused about the difference between business continuity planning (BCP) and disaster recovery planning (DRP). They might try to sequencethem in a particular order or draw firm lines between the two activities. The reality of the situation is that these lines are blurry in real life and don�t lend themselves to neat andclear categorization.The distinction between the two is one of perspective. Both activities are designed to help prepare an organization for a disaster. They intend to keep operations runningcontinuously, when possible, and recover operations as quickly as possible if they aredisrupted. The perspective difference is that business continuity activities are typicallystrategically focused at a high level and center themselves on business processes andoperations. Disaster recovery plans tend to be more tactical in nature and describe technical activities such as recovery sites, backups, and fault tolerance. In any event, don�t get hung up on the difference between the two. We�ve yet to see an exam question force anyone to draw a solid line between the two activities. It�s muchmore important that you understand the processes and technologies involved in thesetwo related disciplines.",
3,1,4,"The data custodian role is assigned to the user who is responsible for thetasks of implementing the prescribed protection defined by the security policy and senior management. The data custodian performs all activities necessary to provide adequate protection for the CIA Triad (confidentiality,integrity, and availability) of data and to fulfill the requirements and responsibilities delegated from upper management. These activities can include performing and testing backups, validating data integrity, deploying security solutions, and managing data storage based on classification.","The data owner role is assigned to the person who is responsible for classifying information for placement and protection within the security solution. The data owner is typically a high-level manager who is ultimately responsible for data protection.However, the data owner usually delegates the esponsibility of the actual data management tasks to a data custodian.",The user (end user or operator) role is assigned to any person who has access to the secured system. A user�s access is tied to their work tasks and is limited so they have only enough access to perform the tasks necessary for their job position (the principle of least privilege). Users are responsible for understanding and upholding the security policy of an organization by following prescribed operational procedures and operating within defined security parameters.,
3,1,5,"DoS attack will transmit so many data packets to a server that it cannot process them all.Other forms of DoS attacks focus on the exploitation of a known fault or vulnerability in an operating system, service, or application. Exploiting the fault often results in a system crash or 100 percent CPU utilization. No matter what the actual attack consists of, any attack that renders its victim unable to perform normal activities is a DoS attack. DoSattacks can result in system crashes, system reboots, data corruption, blockage of services,and more.","Another form of DoS attack is a distributed denial-of-service (DDoS) attack. A DDoS attack occurs when multiple systems attack a single system at the same time. For example,a group of attackers could launch coordinated attacks against a single system. More often today, though, an attacker will compromise several systems and use them as launching platforms against the victims. Attackers commonly use botnets to launch DDoS attacks.","DoS attacks are typically aimed at internet-facing system. In other words,if attackers can access a system via the internet, it is highly susceptible to a DoS attack. In contrast, DoS attacks are not common for internal systems that are not directly accessible via the internet. Similarly, many DDoS attacks target internet-facing systems.",
3,1,6,"When a disaster interrupts your business, your disaster recovery plan should kick in nearly automatically and begin providing support for recovery operations. The disaster recoveryplan should be designed so that the first employees on the scene can immediately begin the recovery effort in an organized fashion, even if members of the official DRP team have not yet arrived on site. In the following sections, we�ll cover critical subtasks involved in crafting an effective disaster recovery plan that can guide rapid restoration of regular businessprocesses and resumption of activity at the primary business location.","In addition to improving your response capabilities, purchasing insurance can reduce the risk of financial losses. When selecting insurance, be sure to purchase sufficient coverage toenable you to recover from a disaster. Simple value coverage may be insufficient to encompass actual replacement costs. If your property insurance includes an actual cash value (ACV) clause, then your damaged property will be compensated based on the fair market value of the items on the date of loss less all accumulated depreciation since the time of their purchase. The important point here is that unless you have a replacement cost clause in your insurance coverage, your organization is likely to be out of pocket as a result of any losses it might sustain. Many insurance providers offer cybersecurity liability policies that specifically cover breaches of confidentiality, integrity, and availability.","Valuable paper insurance coverage provides protection for inscribed, printed, and writtendocuments and manuscripts and other printed business records. However, it does not coverdamage to paper money and printed security certificates.",
3,1,7,"Layering, also known as defense-in-depth, is simply the use of multiple controls in a series.No one control can protect against all possible threats. Using a multilayered solution allows for numerous, different controls to guard against whatever threats come to pass. When security solutions are designed in layers, a failed control should not result in the exposure of systems or data. Using layers in a series rather than in parallel is important. Performing security restrictions in a series means performing one after the other in a linear fashion. Only through a series configuration will each attack be scanned, evaluated, or mitigated by every security control. In a series configuration, the failure of a single security control does not render the entire solution ineffective. If security controls were implemented in parallel, a threat could pass through a single checkpoint that did not address its particular malicious activity.Serial configurations are very narrow but very deep, whereas parallel configurations are very wide but very shallow. Parallel systems are useful in distributed computing applications, but parallelism is not often a useful concept in the realm of security. Think of physical entrances to buildings. A parallel configuration is used for shoppingmalls. There are many doors in many locations around the entire perimeter of the mall. A series configuration would most likely be used in a bank or an airport. A single entrance is provided, and that entrance is actually several gateways or checkpoints that must be passed in sequential order to gain entry into active areas of the building. Layering also includes the concept that networks comprise numerous separate entities, each with its own unique security controls and vulnerabilities. In an effective security solution, there is a synergy between all networked systems that creates a single security front. Using separate security systems creates a layered security solution.","Abstraction is used for efficiency. Similar elements are put into groups, classes, or roles that are assigned security controls, restrictions, or permissions as a collective. Thus, the concept of abstraction is used when classifying objects or assigning roles to subjects. The concept of abstraction also includes the definition of object and subject types or of objects themselves (that is, a data structure used to define a template for a class of entities). Abstraction is used to define what types of data an object can contain, what types of functions can be performed on or by that object, and what capabilities that object has. Abstraction simplifies security by enabling you to assign security controls to a group of objects collected by type or function.","Data hiding is exactly what it sounds like: preventing data from being discovered or accessed by a subject by positioning the data in a logical storage compartment that is not accessible or seen by the subject. Forms of data hiding include keeping a database frombeing accessed by unauthorized visitors and restricting a subject at a lower classification level from accessing data at a higher classification level. Preventing an application from accessing hardware directly is also a form of data hiding. Data hiding is often a key element in security controls as well as in programming. The term security through obscurity may seem relevant here. However, that concept is different. Data hiding is the act of intentionally positioning data so that it is not viewable or accessible to an unauthorized subject, while security through obscurity is the idea of not informing a subject about an object being present and thus hoping that the subject will not discover the object. Security through obscurity does not actually implement any form of protection. It is instead an attempt to hope something important is not discovered by keeping knowledge of it a secret. An example of security through obscurity is when a programmer is aware of a flaw in their software code, they release the product anyway hoping that no one discovers the issue and exploits it.",
3,1,8,"Change management (also known as control management) plays an important role when monitoring systems in the controlled environment of a data center. One of the authors recently worked with an organization that used change management as an essential component of its efforts to detect unauthorized changes to computing systems. File integrity monitoring tools, such as Tripwire, allow you to monitor a system for changes. This organization used Tripwire to monitor hundreds of production servers. However, the organization quickly found itself overwhelmed by file modification alerts resulting from normal activity. The author worked with them to tune the Tripwire-monitoring policies and integrate them with the organization�s change management process. Now all Tripwire alerts go to a centralized monitoring center, where administrators correlate them with approved changes. System administrators receive an alert only if the security team identifies a change that does not appear to correlate with an approved change request. This approach greatly reduced the time spent by administrators reviewing file integrity reports and improve the usefulness of the tool to security administrators.","Because of the sensitive nature of the information collected and used by the military and intelligence agencies, their computer systems are often attractive targets for experiencedattackers. To protect from more numerous and more sophisticated attackers, you will generally find more formal security policies in place on systems that house such information. As you learned in Chapter 1, �Security Governance Through Principles andPolicies,� data can be classified according to sensitivity and stored on systems that support the required level of security. It is common to find stringent perimeter security as well as internal controls to limit access to classified documents on military and intelligence agency systems. You can be sure that serious attacks to acquire military or intelligence information are carried out by professionals. Professional attackers are generally very thorough in coveringtheir tracks. There is usually very little evidence to collect after such an attack. Attackers in this category are the most successful and the most satisfied when no one is aware that an attack occurred. Keep in mind that there are three different versions of the SOC report. The simplest of these, a SOC-1 report, covers only internal controls over financial reporting. If you want to verify the security, privacy, and availability controls, you�ll want to review either a SOC-2 or SOC-3 report. The American Institute of Certified Public Accountants (AICPA) sets and maintains the standards surrounding these reports to maintain consistency between auditors from different accounting firms.","An often-touted �security� improvement to PBX systems is Direct Inward System Access (DISA). This system is designed to help manage external access and external control of a PBX by assigning access codes to users. Although great in concept, this system is being compromised and abused by phreakers. Once an outside phreaker learns the PBX access codes, they can often fully control and abuse the company�s telephone network. This can include using the PBX to make long-distance calls that are charged to your company�s telephone account rather than the phreaker�s phone.",
3,1,9,"Organizations typically include data classifications in their security policy, or in a separate data policy. A data classification identifies the value of the data to the organization and is critical to protect data confidentiality and integrity. The policy identifies classification labels used within the organization. It also identifies how data owners can determine the proper classification and how personnel should protect data based on its classification. As an example, government data classifications include top-secret, secret, confidential, and unclassified. Anything above unclassified is sensitive data, but clearly, these have different values. The U.S. government provides clear definitions for these classifications. As you read them, note that the wording of each definition is close except for a few keywords. Top secret uses the phrase �exceptionally grave damage,� secret uses the phrase �serious damage,� and confidential uses �damage.� Organizations typically include data classifications in their security policy, or in a separate data policy. A data classification identifies the value of the data to the organization and is critical to protect data confidentiality and integrity. The policy identifies classification labels used within the organization. It also identifies how data owners can determine the proper classification and how personnel should protect data based on its classification. As an example, government data classifications include top-secret, secret, confidential, and unclassified. Anything above unclassified is sensitive data, but clearly, these have different values. The U.S. government provides clear definitions for these classifications. As you read them, note that the wording of each definition is close except for a few keywords. Top secret uses the phrase �exceptionally grave damage,� secret uses the phrase �serious damage,� and confidential uses �damage.�","Allocation is the process of requesting access to a data set. ... When a data set is allocated, its resources can be accessed, such as lines of code, input data, or text. You can connect data sets to a program through allocation to a name used by the program.",Redaction is a form of editing in which multiple sources of texts are combined and altered slightly to make a single document. Often this is a method of collecting a series of writings on a similar theme and creating a definitive and coherent work.,
3,1,10,"Qualitative risk analysis is more scenario-based than it is calculator-based. Rather than assigning exact dollar figures to possible losses, you rank threats on a scale to evaluate their risks, costs, and effects. Since a purely quantitative risk assessment is not possible, balancing the results of quantitative analysis is essential. The method of combining quantitative and qualitative analysis into a final assessment of organizational risk is known as hybridassessment or hybrid analysis. The process of performing qualitative risk analysis involves judgment, intuition, and experience. You can use many techniques to perform qualitativelyrisk analysis:? Brainstorming? Delphi technique? Storyboarding? Focus groups? Surveys? Questionnaires? Checklists? One-on-one meetings? InterviewsDetermining which mechanism to employ is based on the culture of the organization and the types of risks and assets involved. It is common for several methods to be employed simultaneously and their results compared and contrasted in the final risk analysis report to upper management.","The quantitative method results in concrete probability percentages. That means the end result is a report that has dollar figures for levels of risk, potential loss, cost of countermeasures, and value of safeguards. This report is usually fairly easy to understand, especially for anyone with knowledge of spreadsheets and budget reports. Think of quantitative analysis as the act of assigning a quantity to risk�in other words, placing a dollar figure on each asset and threat. However, a purely quantitative analysis is not sufficient; not all elements and aspects of the analysis can be quantified because some are qualitative, subjective, or intangible. The process of quantitative risk analysis starts with asset valuation and threat identification. Next, you estimate the potential and frequency of each risk. This information is then used to calculate various cost functions that are used to evaluate safeguards. The six major steps or phases in quantitative risk analysis are as follows (Figure 2.5):1. Inventory assets, and assign a value (asset value, or AV). (Asset value is detailed further in a later section of this chapter named �Asset Valuation.�)2. Research each asset, and produce a list of all possible threats of each individual asset. For each listed threat, calculate the exposure factor (EF) and a single loss expectancy (SLE).3. Perform a threat analysis to calculate the likelihood of each threat being realized within a single year�that is, the annualized rate of occurrence (ARO).4. Derive the overall loss potential per threat by calculating the annualized loss expectancy (ALE).5. Research countermeasures for each threat, and then calculate the changes to ARO and ALE based on an applied countermeasure.6. Perform a cost/benefit analysis of each countermeasure for each threat for each asset. Select the most appropriate response to each threat.","Trenches occur as part of activities in building works and utility maintenance; pits occur in a variety of locations such as agricultural and industrial sites. Risks vary with the depth of the trench or pit and ground conditions surrounding the area. The entry of water, other fluids, or gases creates additional hazards for operational personnel. Typical incidents involve workers being: trapped or buried beneath ground level; crushed by the movement of soil, equipment, or machinery; falling into an open pit or trench; drowning. Trench or pit collapse can result from excessive rainfall, vibration from the nearby heavy plants, insufficient piling and bracing of the trench sides, heavy plants positioned too close to the trench/pit. An incident may require the removal of a quantity of soil, or of machinery or plant to access trapped persons. Typical hazards and associated risks are outlined, along with key control measures to be taken by the Fire and Rescue Service.",
